01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9460
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9947
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9461
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9948
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9462
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9949
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9463
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9950
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9464
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9951
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9465
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9952
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9466
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9953
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9467
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9954
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9468
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9955
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9469
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9956
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9470
01:15:06.786 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9957
01:15:06.786 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9471
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9958
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9472
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9959
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9473
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9960
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9474
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9961
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9475
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9962
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9476
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9963
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9477
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9964
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9478
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9965
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9479
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9966
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9480
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9967
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9481
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9968
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9482
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9969
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9483
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9970
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9484
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9971
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9485
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9972
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9486
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9973
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9487
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9974
01:15:06.787 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9488
01:15:06.787 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9975
