01:15:06.693 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9099
01:15:06.693 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8526
01:15:06.693 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8871
01:15:06.693 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8527
01:15:06.693 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9100
01:15:06.693 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8872
01:15:06.693 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9101
01:15:06.693 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8528
01:15:06.693 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8873
01:15:06.693 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8529
01:15:06.693 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9102
01:15:06.693 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8874
01:15:06.693 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9103
01:15:06.693 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8530
01:15:06.693 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8875
01:15:06.693 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8531
01:15:06.693 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9104
01:15:06.693 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8876
01:15:06.693 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9105
01:15:06.693 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8532
01:15:06.693 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8877
01:15:06.693 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8533
01:15:06.693 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9106
01:15:06.693 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8878
