01:15:06.716 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9112
01:15:06.716 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8760
01:15:06.716 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9332
01:15:06.716 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9113
01:15:06.716 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9333
01:15:06.716 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8761
01:15:06.716 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9114
01:15:06.716 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8762
01:15:06.716 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9334
01:15:06.716 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9115
01:15:06.716 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9335
01:15:06.716 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8763
01:15:06.716 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9116
01:15:06.716 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8764
01:15:06.716 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9336
01:15:06.716 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9117
01:15:06.716 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9337
01:15:06.716 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8765
01:15:06.716 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9118
01:15:06.716 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8766
01:15:06.716 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9338
01:15:06.716 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9119
01:15:06.716 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9339
01:15:06.716 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8767
01:15:06.716 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9120
01:15:06.716 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8768
01:15:06.716 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9340
01:15:06.716 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9121
01:15:06.716 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9341
01:15:06.716 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8769
01:15:06.716 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9122
01:15:06.716 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8770
